STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
WEST,6877,62,43,17,37,,33,70,,42,,67,,,,,,
ALPHA,6906,62,44,40,61,43,43,64,,40,,,,,,,,
SOUTH,6946,54,64,55,60,20,39,,,59,,,,,27,,,
,6675,56,49,27,47,,31,65,,48,,,,56,,,,
NORTH,6693,49,62,48,51,,35,65,,51,65,,,,,,,
CENTRAL,6873,61,50,23,52,,35,52,,40,75,,,,,,,
WEST,6911,63,47,42,32,,28,64,,43,,42,,,,,,
CENTRAL,6679,55,58,33,52,45,44,67,,55,,,,,,,,
WEST,6939,66,27,34,41,,29,61,,30,,,,,,,70,
NORTH,6783,54,57,35,47,,37,61,,30,,58,,,,,,
CENTRAL,6769,63,55,23,49,,30,,26,42,,,59,,,,,
,6664,60,44,46,38,23,49,,31,46,,,,,,,,
SOUTH,6944,49,41,38,55,34,43,,,33,,,,,,,,61
SOUTH,6646,47,31,24,46,,28,,57,40,60,,,,,,,
ALPHA,6768,55,58,20,36,,35,,35,36,,,54,,,,,
,6600,58,64,43,39,,38,64,,43,,,,,20,,,
ALPHA,6750,69,47,41,55,43,33,,,48,,,,,,,,62
EAST,6614,72,58,28,45,28,48,,,54,,,,46,,,,
,6616,41,51,46,42,,31,77,,53,,,,,38,,,
,6652,37,51,46,55,37,47,,,53,66,,,,,,,
SOUTH,6718,50,42,37,53,,34,,34,48,,,,,,,,48
,6671,49,37,43,42,32,29,,,41,,,54,,,,,
WEST,6901,65,44,20,35,,30,,56,38,,,,,,,,60
CENTRAL,7236,53,51,44,45,48,45,,,44,60,,,,,,,
EAST,6776,45,47,28,50,,36,,31,46,,,62,,,,,
NORTH,6651,51,53,22,28,,40,60,,49,75,,,,,,,
CENTRAL,6823,54,47,30,49,,35,,57,32,,,60,,,,,
SOUTH,6922,56,61,22,43,,34,,29,49,,,,,,,,48
NORTH,6771,56,56,60,37,18,27,,,32,,,,,31,,,
CENTRAL,6919,62,56,46,39,46,48,,36,55,,,,,,,,
NORTH,6893,54,52,47,41,,55,55,,41,,,,,,,47,
WEST,6773,55,63,29,28,,19,,35,48,69,,,,,,,
CENTRAL,6709,60,45,26,51,,39,,30,49,68,,,,,,,
EAST,6841,55,54,38,50,39,41,,30,42,,,,,,,,
WEST,6857,54,55,27,32,,19,72,,38,65,,,,,,,
,6661,41,45,14,50,,28,74,,48,60,,,,,,,
CENTRAL,6852,54,61,34,41,,30,,25,42,,,,,30,,,
NORTH,6729,59,44,36,49,,32,,28,45,75,,,,,,,
ALPHA,6872,51,35,28,42,,36,58,,69,,,,40,,,,
WEST,6871,60,41,42,39,25,29,,,33,,,,,,,,53
,6631,54,56,42,45,,36,,41,41,70,,,,,,,
,6717,62,56,17,42,,18,68,,36,,,,57,,,,
CENTRAL,6757,51,64,8,23,,35,,25,47,71,,,,,,,
SOUTH,6625,56,38,27,35,,22,,37,30,,,,,,,64,
EAST,6925,50,47,18,48,,30,,26,44,,,63,,,,,
NORTH,6929,43,44,27,33,,46,,25,47,,,,,,,,42
WEST,6889,37,38,43,33,28,30,,,35,61,,,,,,,
ALPHA,6780,52,49,38,51,,28,,46,29,62,,,,,,,
EAST,6691,58,41,43,45,,33,,28,29,,,,,,,,54
EAST,6734,41,40,40,48,,41,52,,30,,,,,41,,,
WEST,6895,68,39,13,33,,24,74,,43,61,,,,,,,
ALPHA,6902,46,50,44,33,40,28,62,,33,,,,,,,,
ALPHA,6828,37,37,28,47,,24,,37,31,,,58,,,,,
SOUTH,6784,47,42,18,36,,33,,28,49,,,,,43,,,
SOUTH,6742,37,37,33,44,,30,,29,42,,,56,,,,,
SOUTH,6870,60,39,31,37,27,30,,,45,,,,,,,,44
WEST,6623,46,37,35,15,25,41,,,29,,,,,,,45,
WEST,6635,51,33,7,17,,16,,33,36,,,,,,,,48
ALPHA,6624,38,44,28,29,,24,57,,46,68,,,,,,,
WEST,6856,53,45,23,21,,26,71,,32,65,,,,,,,
EAST,6770,60,40,22,38,,25,56,,20,54,,,,,,,
NORTH,6699,47,43,43,55,,34,,18,45,,,,,28,,,
ALPHA,6612,57,55,20,59,,22,,25,50,,,,,,,,62
EAST,6662,52,30,46,60,33,57,,41,40,,,,,,,,
EAST,6818,44,37,20,30,,23,,33,37,52,,,,,,,
ALPHA,6738,,,0,,,,,,,,,,,,,,
EAST,6947,61,81,85,84,81,83,,,73,,,,,,,,85
SOUTH,6724,67,70,82,79,67,88,,76,72,,,,,,,,
SOUTH,6820,69,69,87,86,65,77,,77,74,,,,,,,,
CENTRAL,6891,67,74,63,84,71,83,,75,75,,,,,,,,
WEST,6689,61,61,75,76,,78,81,,70,,,,,,70,,
WEST,6743,59,70,81,70,73,69,,80,78,,,,,,,,
ALPHA,6732,69,70,70,76,65,71,,72,75,,,,,,,,
,6791,67,73,82,67,66,79,,73,69,,,,,,,,
WEST,6827,49,67,78,78,69,78,,,77,,,,,,,,81
EAST,6868,72,74,74,70,56,78,,,71,,,,,,70,,
EAST,6632,48,64,72,77,60,82,,,77,,,,,,,,82
SOUTH,6736,60,70,79,70,68,76,,64,72,,,,,,,,
NORTH,6639,66,70,60,60,,70,,76,72,,,,,,,,80
CENTRAL,6739,61,72,72,68,65,72,86,,61,,,,,,,,
,6710,53,74,72,64,,77,,67,75,,,,,,,,78
EAST,6862,65,74,65,74,56,72,,,71,,,79,,,,,
,6660,71,73,67,69,50,77,,70,77,,,,,,,,
ALPHA,6744,50,76,81,71,68,68,,66,72,,,,,,,,
WEST,6641,59,71,57,69,,69,84,,70,,,77,,,,,
EAST,6650,62,74,56,72,61,71,,80,78,,,,,,,,
SOUTH,6604,63,63,70,65,64,77,,,68,,83,,,,,,
ALPHA,6938,61,70,63,77,63,74,,70,70,,,,,,,,
CENTRAL,6936,61,71,71,65,72,71,,65,66,,,,,,,,
ALPHA,6833,69,62,70,59,57,77,,,71,,,,85,,,,
,6607,61,65,76,70,,60,,66,68,,,,,,,,74
CENTRAL,6649,53,73,71,72,61,70,,,78,,,69,,,,,
EAST,6764,66,68,76,71,,73,,69,61,,,,,60,,,
WEST,6605,60,69,70,71,63,71,,,68,,,71,,,,,
ALPHA,6890,66,66,64,71,67,72,,69,68,,,,,,,,
EAST,6758,57,74,80,71,63,69,,,73,,,,,55,,,
WEST,6659,67,74,56,59,,55,87,,70,,,,,,,,72
,6686,66,61,62,75,,69,,71,67,,,,,,,63,
,6794,58,77,63,72,50,69,,,72,,78,,,,,,
EAST,6948,57,64,71,70,56,63,,,70,,,,,,,,84
NORTH,6848,60,67,61,64,,57,,67,77,,,,,,,,81
SOUTH,6622,63,72,66,69,57,66,,,74,,,,,,,,70
,6755,51,60,76,71,66,76,,,62,,,67,,,,,
WEST,6924,61,67,56,71,,65,,76,72,,,,,60,,,
CENTRAL,6840,60,55,86,64,68,77,,,52,,,,,,74,,
ALPHA,6672,66,75,60,64,63,60,,62,79,,,,,,,,
CENTRAL,6727,55,68,62,73,64,74,,,65,,,,70,,,,
NORTH,6819,58,57,78,64,65,75,,69,66,,,,,,,,
SOUTH,6796,52,54,66,72,65,70,,70,77,,,,,,,,
SOUTH,6812,63,72,80,59,56,67,93,,50,,,,,,,,
CENTRAL,6733,58,61,79,61,54,73,,,74,,,,,74,,,
,6762,66,77,60,60,54,64,,68,75,,,,,,,,
,6866,66,71,40,61,,47,87,,70,,,,,,,,86
ALPHA,6928,57,67,62,69,57,68,,,78,,,70,,,,,
NORTH,6753,67,67,66,67,56,61,,71,69,,,,,,,,
SOUTH,6778,58,69,50,77,52,68,,,75,,,77,,,,,
WEST,6844,62,71,54,71,,60,77,,72,57,,,,,,,
WEST,6647,61,71,55,60,,71,80,,66,59,,,,,,,
WEST,6695,48,71,60,65,,66,75,,56,,,,,,,,75
ALPHA,6702,63,74,45,68,50,62,89,,75,,,,,,,,
WEST,6665,69,76,52,68,,49,,66,68,,,,,,,,77
ALPHA,6860,55,66,70,56,64,63,,,66,,,,,,,,80
CENTRAL,6613,50,66,52,72,61,69,,,73,,,,,,,,78
,6674,66,68,70,64,58,53,,,70,,,,,,70,,
EAST,6914,57,64,60,61,,64,83,,66,,,,68,,,,
,6687,56,67,50,56,,70,80,,58,,,,,,,,81
NORTH,6831,62,63,57,46,,60,82,,68,,,,,,,,82
WEST,6737,56,71,52,65,,57,,62,70,,,,,,,,81
,6637,63,66,59,60,59,71,,73,67,,,,,,,,
CENTRAL,6787,62,69,72,59,61,63,,,66,,,,,,,,68
NORTH,6807,66,67,58,69,47,83,,65,63,,,,,,,,
ALPHA,6642,60,68,58,61,,55,,71,65,,,,,,,,70
CENTRAL,6781,62,70,60,59,55,71,,,64,,,,,,,73,
,6633,61,56,52,75,58,71,,,74,,,,67,,,,
,6735,57,71,61,58,,67,,71,69,,,,62,,,,
NORTH,6825,54,61,60,67,58,77,,66,72,,,,,,,,
ALPHA,6912,57,59,64,64,55,65,87,,68,,,,,,,,
SOUTH,6808,67,68,48,68,,57,80,,68,,,,,,,64,
,6713,56,73,57,64,53,64,,,77,,,71,,,,,
WEST,6935,57,74,44,63,,62,,75,63,,,,,,,,78
ALPHA,6810,60,58,72,60,55,65,87,,53,,,,,,,,
CENTRAL,6697,67,67,52,54,,61,,71,67,,,,,,,,72
EAST,6740,72,66,55,64,,62,84,,59,,,,,50,,,
,6725,51,64,56,69,61,74,,68,71,,,,,,,,
WEST,6837,63,71,55,51,,54,82,,64,,,,,,,,74
CENTRAL,6817,61,63,52,61,62,71,,72,67,,,,,,,,
NORTH,6609,59,75,51,67,52,68,,,67,,,,70,,,,
SOUTH,6859,61,62,65,65,51,61,,,57,,,,81,,,,
ALPHA,6654,63,64,64,63,,71,,63,51,,,,72,,,,
,6745,57,74,51,61,,44,84,,69,,,,,,,,74
CENTRAL,6829,53,63,80,64,65,68,,,56,,,64,,,,,
NORTH,6842,67,66,46,63,,57,85,,64,,,,64,,,,
WEST,6677,61,63,53,61,,53,86,,66,,,68,,,,,
SOUTH,6670,59,64,71,60,48,72,,,66,,,67,,,,,
EAST,6752,60,67,70,68,49,59,,,60,,,,,,,,73
NORTH,6777,72,64,41,49,,55,85,,70,,,,,,,,70
SOUTH,6772,59,65,50,57,,64,,70,73,,,67,,,,,
WEST,6923,58,60,62,60,51,62,,,70,,,,,,,,79
NORTH,6615,60,58,61,71,53,66,,,67,,,,65,,,,
WEST,6629,52,65,56,65,,58,,70,70,,,,,,,,64
NORTH,6657,54,64,47,58,,66,78,,67,,,,,,,,73
ALPHA,6798,62,63,51,66,58,62,,,68,,,73,,,,,
,6785,54,71,48,57,,59,75,,68,,,,,,,,73
WEST,6941,56,61,73,53,68,63,,,51,,,,80,,,,
ALPHA,6720,62,62,57,60,59,61,,,67,,,,,,71,,
EAST,6782,56,52,62,69,,60,,69,72,,,61,,,,,
,6603,53,66,56,57,,60,84,,63,,,,,,62,,
NORTH,6887,59,62,50,63,,55,78,,62,,,,,,,,71
ALPHA,6690,55,71,60,47,,50,77,,64,,,,,,,,70
CENTRAL,6846,60,72,50,62,61,76,,,61,,,,,54,,,
SOUTH,6864,68,60,42,75,51,61,,67,73,,,,,,,,
EAST,6853,56,51,81,57,55,71,,65,55,,,,,,,,
NORTH,6669,66,67,60,55,51,55,,70,65,,,,,,,,
SOUTH,6814,62,77,43,68,41,50,90,,73,,,,,,,,
CENTRAL,6715,53,71,59,62,53,52,,,78,,,,,,,,72
NORTH,6644,54,72,53,64,52,61,,,77,,,,68,,,,
ALPHA,6696,60,65,38,65,,58,85,,57,,,,69,,,,
CENTRAL,6811,66,65,59,60,59,57,,61,67,,,,,,,,
NORTH,6723,60,72,63,56,57,53,75,,58,,,,,,,,
,6640,59,56,70,53,61,52,79,,66,,,,,,,,
,6832,59,69,50,72,50,66,,66,63,,,,,,,,
SOUTH,6894,68,67,50,55,,45,86,,63,,,,64,,,,
EAST,6920,59,61,70,66,,63,,56,65,,,,51,,,,
SOUTH,6706,62,61,50,65,48,66,,,69,,,,,,,,71
ALPHA,6884,70,73,57,60,53,60,,60,55,,,,,,,,
NORTH,6813,59,58,55,67,56,68,,67,63,,,,,,,,
EAST,6847,67,63,55,64,50,55,,,62,,,,,,73,,
SOUTH,6760,60,65,62,63,,55,,63,65,,,,,54,,,
WEST,6761,63,66,43,67,,51,90,,73,,,,,43,,,
ALPHA,6851,64,72,50,54,49,68,72,,64,,,,,,,,
,6653,63,68,59,60,47,68,,,66,,,,,,57,,
WEST,6707,64,66,48,55,,47,84,,70,,,,,,,,54
EAST,6830,67,60,61,59,42,63,,,66,,,67,,,,,
ALPHA,6678,51,58,65,55,55,76,,,59,,,61,,,,,
,6704,50,72,52,58,,48,87,,57,,,64,,,,,
EAST,6806,64,68,63,58,52,47,,,63,,,,,71,,,
EAST,6680,54,67,55,61,40,56,,,64,,,,,,,,88
CENTRAL,6926,50,69,51,58,,49,76,,62,,,67,,,,,
EAST,6722,56,68,42,56,,52,,67,67,,,73,,,,,
,6869,63,59,50,66,,53,,70,56,,,,,,64,,
NORTH,6875,55,57,77,50,58,60,,,59,,,,64,,,,
,6628,62,61,50,58,38,73,,,66,,,,71,,,,
SOUTH,6634,61,59,59,60,50,58,,,58,,75,,,,,,
WEST,6719,53,66,40,66,,44,83,,72,58,,,,,,,
EAST,6620,54,61,51,60,,46,75,,58,,,,,,,,70
,6658,53,56,65,49,,50,82,,60,60,,,,,,,
SOUTH,6826,49,61,60,60,,51,,67,66,,,,,,,62,
NORTH,6765,59,68,72,54,,58,,59,62,,,,,54,,,
,6630,59,64,43,56,,54,,62,65,,,,,,,,77
ALPHA,6726,63,55,64,63,53,62,,,59,,62,,,,,,
NORTH,6621,63,62,56,59,,59,,62,69,,,,,51,,,
CENTRAL,6793,55,67,42,62,54,58,,,67,,,,,,,,71
EAST,6746,63,76,47,57,,53,,63,60,57,,,,,,,
ALPHA,6648,53,55,51,55,,60,75,,63,,58,,,,,,
,6667,57,60,45,46,,46,80,,66,,,,,,,,73
CENTRAL,6885,60,58,50,57,,51,,64,66,,,66,,,,,
SOUTH,6802,55,70,46,64,,46,,60,70,,,,,57,,,
,6666,58,56,52,58,58,62,,67,61,,,,,,,,
ALPHA,6931,59,59,46,51,,57,79,,63,,,,60,,,,
NORTH,6645,59,57,42,67,52,70,,64,61,,,,,,,,
,6730,65,62,47,50,46,64,,,67,,,,69,,,,
SOUTH,6790,68,65,47,53,,47,,61,64,,,,,,,,66
WEST,6821,63,65,43,63,48,55,,,67,,,,,,,,67
,6703,55,62,61,55,55,53,,,58,,,68,,,,,
,6903,55,54,63,57,56,55,,65,64,,,,,,,,
CENTRAL,6907,58,50,44,62,,56,,65,60,,,,72,,,,
EAST,6792,61,58,54,51,,62,,65,66,,,,,,,50,
NORTH,6881,55,61,62,59,,50,72,,62,,,,,47,,,
,6855,62,72,50,65,36,50,,,61,,,,,,67,,
SOUTH,6876,62,72,60,55,46,56,,,62,,,,,,51,,
NORTH,6759,53,63,38,50,,45,89,,70,,,,,64,,,
NORTH,6863,63,49,60,62,48,62,,,60,,,,64,,,,
ALPHA,6838,56,54,55,63,56,60,,66,52,,,,,,,,
,6602,46,68,56,50,,49,81,,64,,,,,,50,,
EAST,6728,55,52,57,63,,67,,47,69,,,,55,,,,
NORTH,6835,61,64,46,48,50,55,,,71,,,,67,,,,
SOUTH,6754,59,57,56,57,55,49,,66,67,,,,,,,,
WEST,6803,56,57,61,56,,39,,62,61,,,,,,70,,
ALPHA,6636,53,67,41,50,,45,,64,64,,,,,,,,80
SOUTH,6748,53,61,52,61,,49,68,,68,,,54,,,,,
,6774,53,66,41,56,,57,,64,54,,,70,,,,,
ALPHA,6822,65,63,53,45,42,56,,,69,,,,,,68,,
CENTRAL,6751,64,73,56,56,,34,,60,60,,,,,57,,,
EAST,6668,50,52,40,59,,41,78,,71,,,68,,,,,
,6843,53,56,60,63,,52,,56,56,,63,,,,,,
SOUTH,6943,64,61,53,56,40,58,,,57,,,,,,,,71
WEST,6617,57,52,53,56,55,60,,,62,,,,,,,,64
EAST,6716,41,60,46,51,,49,82,,65,,62,,,,,,
SOUTH,6927,54,56,71,61,,51,,46,57,,,,,,,60,
ALPHA,6684,65,69,36,65,43,54,80,,47,,,,,,,,
CENTRAL,6763,53,63,46,56,,44,,63,69,,,67,,,,,
,6788,43,64,74,60,40,54,,,59,,,,,,,,67
EAST,6899,59,64,47,59,42,51,,,72,,,,67,,,,
ALPHA,6949,58,63,52,51,,59,,60,53,,,60,,,,,
EAST,6874,58,60,52,56,46,61,,,62,,,,59,,,,
NORTH,6909,61,54,52,59,,50,,62,66,54,,,,,,,
CENTRAL,6930,61,55,67,52,56,60,,,56,,,,,44,,,
NORTH,6905,58,61,37,55,,40,77,,63,,,62,,,,,
SOUTH,6676,60,63,25,57,,37,82,,65,,,63,,,,,
EAST,6656,54,64,32,49,,44,81,,73,,,,,,,,64
WEST,6767,66,63,36,49,,31,89,,58,,,,,,68,,
EAST,6638,48,49,48,58,,44,81,,61,,,,,,,,65
ALPHA,6708,50,57,52,50,,53,67,,53,,,,,,,,69
CENTRAL,6673,50,64,52,51,,45,74,,53,,,63,,,,,
NORTH,6663,62,61,60,52,42,56,,,59,,,,59,,,,
SOUTH,6694,61,56,50,69,39,63,,,55,,,,,59,,,
,6618,56,63,51,56,,53,,60,53,,,,,55,,,
ALPHA,6738,57,66,36,54,,54,,50,70,,,61,,,,,
,6800,66,62,46,46,,53,,52,61,,,60,,,,,
,6880,56,60,52,56,50,55,,,59,,,,,,,58,
EAST,6886,57,49,63,55,53,60,,70,40,,,,,,,,
WEST,6731,49,55,50,52,39,58,75,,72,,,,,,,,
CENTRAL,6879,55,55,60,47,56,60,,56,50,,,,,,,,
WEST,6815,56,61,29,61,,34,87,,55,,,68,,,,,
CENTRAL,6799,63,62,52,53,49,53,,,55,,,,,,,,60
SOUTH,6839,63,56,71,57,42,57,,,43,,,,,,,,58
ALPHA,6606,51,59,57,47,51,61,,,51,,68,,,,,,
CENTRAL,6619,63,57,49,50,45,50,,,64,,,,,,,,66
EAST,6904,61,47,53,56,50,53,,,52,,,,,,,,72
WEST,6939,66,58,45,47,,27,72,,53,,,,,,,77,
ALPHA,6878,53,59,55,45,,46,68,,50,,,,,,,,65
EAST,6824,51,61,47,68,42,65,,,55,,,,,52,,,
NORTH,6915,55,65,36,52,40,53,,72,67,,,,,,,,
EAST,6692,51,52,41,60,,51,,60,61,,,,,,,,60
WEST,6809,52,60,56,58,44,58,,54,64,,,,,,,,
EAST,6908,50,62,66,43,49,66,,,54,,,,,,,54,
WEST,6701,56,56,40,49,,44,,61,74,,,,,,,,64
ALPHA,6804,58,63,34,50,,46,,63,65,,,62,,,,,
CENTRAL,6601,51,71,51,45,53,44,,62,62,,,,,,,,
,6627,54,72,38,39,,40,68,,61,,,,,,,,70
,6705,52,62,52,49,,40,66,,61,,,59,,,,,
NORTH,6795,54,68,51,43,,46,,68,60,,,,52,,,,
,6779,40,53,53,56,63,60,,63,50,,,,,,,,
WEST,6877,62,52,40,48,,31,69,,67,,73,,,,,,
CENTRAL,6679,57,55,36,61,,50,75,,48,,,,,,,,53
NORTH,6921,60,67,40,43,,37,,65,58,,,,,,,65,
WEST,6883,51,51,41,56,47,51,,65,73,,,,,,,,
,6711,46,57,48,54,48,54,,,61,,,,,,,,70
NORTH,6801,66,58,31,56,,33,82,,54,,,58,,,,,
EAST,6892,47,58,45,70,33,52,,,57,,,,,,,,74
SOUTH,6849,71,61,44,48,44,50,,,57,61,,,,,,,
ALPHA,6906,61,54,60,50,44,47,68,,50,,,,,,,,
CENTRAL,6873,61,63,38,55,,35,74,,51,55,,,,,,,
SOUTH,6712,64,57,23,55,,43,74,,67,,,,51,,,,
CENTRAL,6913,60,60,60,47,54,51,,,51,,,,,46,,,
CENTRAL,6805,59,59,45,51,,49,,58,54,,,62,,,,,
WEST,6685,51,53,37,52,,47,78,,54,,,,,,,,63
ALPHA,6845,61,54,45,52,42,47,,,62,,,,,,,,68
CENTRAL,6775,50,51,51,56,,49,,54,54,,,,,,,,65
SOUTH,6700,64,59,42,67,36,46,,,67,,,,,50,,,
ALPHA,6816,46,48,50,42,,36,71,,60,72,,,,,,,
NORTH,6789,58,61,31,56,,41,,50,72,55,,,,,,,
SOUTH,6882,62,53,50,58,43,55,,,55,,,,,,,50,
EAST,6834,57,48,62,44,58,54,,58,51,,,,,,,,
CENTRAL,6655,50,49,56,49,57,45,,59,62,,,,,,,,
EAST,6841,59,61,56,47,44,46,,62,53,,,,,,,,
,6721,61,58,39,56,,41,,55,60,,,53,,,,,
CENTRAL,6867,57,61,33,51,,44,,55,61,,,,,,,,60
NORTH,6693,44,54,45,49,,51,70,,71,42,,,,,,,
ALPHA,6786,45,65,40,56,,52,,52,49,,,,,,,,60
CENTRAL,6861,55,53,45,46,50,46,,63,62,,,,,,,,
WEST,6671,56,60,60,55,41,48,,,40,,,55,,,,,
WEST,6865,53,51,43,50,,33,71,,54,,,,,,,,67
EAST,6662,48,54,65,55,46,52,,47,54,,,,,,,,
SOUTH,6610,43,57,30,64,,42,,67,55,,,,,,,,62
WEST,6797,50,63,52,47,49,47,,57,56,,,,,,,,
ALPHA,6896,57,50,41,34,,42,70,,58,,,,,,,,65
,6769,71,61,32,51,,28,,56,62,,,56,,,,,
CENTRAL,6919,50,61,49,55,37,51,,54,60,,,,,,,,
EAST,6614,51,53,41,52,41,45,,,73,,,,60,,,,
WEST,7299,56,52,50,52,48,48,,67,45,,,,,,,,
CENTRAL,6897,52,55,50,40,,35,70,,51,,,,,,,,59
ALPHA,6714,57,62,35,53,,54,,52,49,,,,56,,,,
WEST,7301,68,56,41,51,43,48,,,53,,,,,58,,,
SOUTH,6766,58,56,41,56,52,37,,47,66,,,,,,,,
EAST,6776,44,50,46,56,,35,,62,60,,,55,,,,,
,6688,56,54,56,47,,39,,64,63,,,,38,,,,
SOUTH,6888,57,51,39,42,52,56,,,58,,,,59,,,,
NORTH,6893,54,49,35,38,,52,63,,67,,,,,,,55,
SOUTH,6946,54,54,50,46,41,51,,,55,,58,,,,,,
WEST,6871,52,62,41,36,,28,68,,57,,,,,,,,61
ALPHA,6750,52,55,41,52,50,31,,,52,,,,,,,,69
NORTH,6699,51,56,53,46,,45,,54,60,,,,,35,,,
,6652,56,62,48,55,36,50,,,52,42,,,,,,,
SOUTH,6922,63,66,21,45,,34,,59,55,,,,,,,,55
NORTH,6854,57,48,59,48,47,50,,,51,,,,,43,,,
WEST,6911,58,57,34,45,,35,59,,61,,54,,,,,,
ALPHA,6756,48,66,46,48,36,45,,,54,,,,,,,,57
NORTH,6934,51,48,37,41,,40,,57,64,,,,,,,,63
CENTRAL,6852,53,47,45,56,,40,,60,53,,,,,40,,,
ALPHA,6612,47,67,25,41,,32,,47,60,,,,,,,,72
CENTRAL,6823,45,52,33,50,,34,,60,51,,,69,,,,,
EAST,6698,42,52,26,50,,32,74,,60,,,56,,,,,
,6675,57,47,39,47,,30,64,,62,,,,46,,,,
NORTH,6783,49,53,37,43,,35,74,,40,,62,,,,,,
CENTRAL,6836,52,52,41,60,45,42,,54,42,,,,,,,,
ALPHA,6918,52,63,23,40,,27,76,,51,,53,,,,,,
WEST,6850,55,55,35,42,,31,,62,52,,,,,,,,54
WEST,6901,62,43,28,57,,41,,53,45,,,,,,,,59
SOUTH,6616,54,55,32,50,,37,61,,64,,,,,31,,,
WEST,6857,44,48,30,40,,35,72,,67,49,,,,,,,
ALPHA,6916,67,45,43,48,34,38,,,48,,,,60,,,,
SOUTH,6718,52,50,42,44,,28,,49,55,,,,,,,,62
ALPHA,6872,44,38,38,45,,53,61,,41,,,,60,,,,
EAST,6734,48,54,45,40,,39,65,,47,,,,,42,,,
NORTH,6651,49,53,32,35,,42,62,,56,52,,,,,,,
WEST,6917,47,54,33,49,,31,67,,44,,,,59,,,,
ALPHA,6768,51,57,27,44,,29,,54,60,,,57,,,,,
ALPHA,6600,52,50,31,39,,33,76,,61,,,,,34,,,
SOUTH,6646,56,51,31,48,,33,,54,49,55,,,,,,,
EAST,6691,55,47,63,35,,40,,45,43,,,,,,,,43
NORTH,6747,46,39,27,38,,28,70,,64,62,,,,,,,
,6729,54,56,28,45,,32,,50,58,49,,,,,,,
NORTH,6771,62,58,53,40,27,26,,,62,,,,,43,,,
CENTRAL,6757,47,48,28,50,,35,,56,53,50,,,,,,,
SOUTH,6664,59,48,35,46,40,29,,50,60,,,,,,,,
,6709,51,49,36,33,,39,,51,47,55,,,,,,,
CENTRAL,6717,53,48,35,50,,29,55,,41,,,,49,,,,
SOUTH,6742,46,61,27,45,,29,,45,58,,,48,,,,,
NORTH,6741,46,39,36,41,,37,60,,51,,,47,,,,,
SOUTH,6784,54,59,23,46,,24,,46,57,,,,,46,,,
,6643,45,51,46,40,,31,,47,43,,,,,,,,47
CENTRAL,7236,50,43,41,50,30,37,,,42,58,,,,,,,
WEST,6623,48,47,55,31,36,48,,,30,,,,,,,56,
CENTRAL,6661,50,50,20,33,,27,67,,48,51,,,,,,,
EAST,6925,52,48,29,44,,25,,48,51,,,55,,,,,
WEST,6889,49,57,45,35,39,29,,,46,52,,,,,,,
WEST,6635,50,48,19,30,,16,,46,57,,,,,,,,60
ALPHA,6902,48,50,43,34,29,40,57,,49,,,,,,,,
ALPHA,6624,38,51,22,25,,21,59,,67,51,,,,,,,
NORTH,6929,47,50,19,42,,35,,50,43,,,,,,,,46
WEST,6773,44,50,22,38,,31,,52,51,44,,,,,,,
SOUTH,6870,65,49,20,37,25,22,,,52,,,,,,,,54
WEST,6895,41,45,22,23,,27,56,,59,47,,,,,,,
WEST,6856,51,59,20,28,,21,60,,35,42,,,,,,,
ALPHA,6780,51,54,25,38,,29,,41,49,42,,,,,,,
CENTRAL,6631,40,39,37,41,,29,,51,42,47,,,,,,,
SOUTH,6625,54,42,33,33,,28,,33,37,,,,,,,61,
ALPHA,6828,39,34,25,34,,37,,51,36,,,52,,,,,
EAST,6770,54,46,31,36,,16,44,,26,37,,,,,,,
EAST,6818,34,35,23,45,,22,,37,30,30,,,,,,,
SOUTH,6944,,,,,,,,,,,,,,,,,
